issueID,PubDate,Article.count,Sales
1,10/24/04,7,2227
2,11/08/2004,5,703
3,11/23/04,7,2252
4,12/08/2004,7,2180
5,12/23/04,8,2894
6,01/07/2005,7,2006
7,1/22/05,7,2140
8,02/06/2005,7,2308
9,2/21/05,6,1711
10,03/08/2005,5,1227
11,3/23/05,9,3642
12,04/07/2005,7,2153
13,4/22/05,6,1826
14,05/07/2005,6,1531
15,5/22/05,6,1406
16,06/06/2005,7,2219
17,6/21/05,10,4035
18,07/06/2005,7,2389
19,7/21/05,6,1494
20,08/05/2005,7,2140
21,8/20/05,6,1575
22,09/04/2005,9,3339
23,9/19/05,6,1682
24,10/04/2005,10,3605
25,10/19/05,7,2252
26,11/03/2005,9,3234
27,11/18/05,8,2796
28,12/03/2005,5,1174
29,12/18/05,8,2869
30,01/02/2006,5,1050
31,1/17/06,7,2023
32,02/01/2006,6,1911
33,2/16/06,9,3074
34,03/03/2006,6,1640
35,3/18/06,7,2538
36,04/02/2006,9,3134
37,4/17/06,6,1419
38,05/02/2006,6,1744
39,5/17/06,8,2879
40,06/01/2006,8,2645
41,6/16/06,10,4071
42,07/01/2006,5,1142
43,7/16/06,7,1969
44,7/31/06,8,2944
45,8/15/06,6,1669
46,8/30/06,6,1702
47,9/14/06,7,1690
48,9/29/06,6,1795
49,10/14/06,5,1064
50,10/29/06,10,3728
51,11/13/06,7,2137
52,11/28/06,8,3074
53,12/13/06,9,3414
54,12/28/06,5,1187
55,01/12/2007,10,4339
56,1/27/07,8,2878
57,02/11/2007,7,2344
58,2/26/07,9,3215
59,3/13/07,9,3662
60,3/28/07,5,918
61,04/12/2007,6,1316
62,4/27/07,8,2608
63,05/12/2007,6,1643
64,5/27/07,6,1256
65,06/11/2007,6,1201
66,6/26/07,8,2707
67,07/11/2007,7,2566
68,7/26/07,5,1331
69,08/10/2007,8,2740
70,8/25/07,5,330
71,09/09/2007,5,1106
72,9/24/07,6,2052
73,10/09/2007,9,3252
74,10/24/07,10,4022
75,11/08/2007,6,1562
76,11/23/07,9,3422
77,12/08/2007,5,1180
78,12/23/07,9,3303
79,01/07/2008,6,1648
80,1/22/08,10,3994
81,02/06/2008,18,4031
82,2/21/08,19,4108
83,03/07/2008,17,4010
84,3/22/08,16,4140
85,04/06/2008,16,4022
86,4/21/08,14,3959
87,05/06/2008,14,3916
88,5/21/08,14,4015
89,06/05/2008,17,4179
90,6/20/08,16,4057
91,07/05/2008,11,4098
92,7/20/08,16,3791
93,08/04/2008,20,3990
94,8/19/08,13,4031
95,09/03/2008,12,4046
96,9/18/08,12,3961
97,10/03/2008,15,4120
98,10/18/08,16,3961
99,11/02/2008,13,4053
100,11/17/08,18,3961
101,12/02/2008,16,4064
102,12/17/08,14,3866
103,01/01/2009,15,4049
104,1/16/09,14,4074
105,1/31/09,17,4007
106,2/15/09,16,3962
107,03/02/2009,14,3941
108,3/17/09,13,4024
109,04/01/2009,13,3886
110,4/16/09,20,3997
111,05/01/2009,27,3973
112,5/16/09,24,3834
113,5/31/09,26,3970
114,6/15/09,27,3907
115,6/30/09,30,3938
